,id,event,source,text,lang,lang_conf,class_label
79,591902743784247296,2015_nepal_earthquake,crisisnlp-cf,Praying for the people of Nepal ‡__F‡_ÀC hoping they find their loved ones who are missing ‡_Á4,en,,informative
85,382819854081732608,2013_pakistan_earthquake,crisisnlp-cf,RT @faisalmahmood99: #MQM Quaid Altaf Hussain Appeals to Philanthropists for Generous Donations #ReliefByKKF #Pakistan http://t.co/1vELTxStâ€¦,en,1.0,informative
88,575753314421325824,2015_vanuatu_cyclone,crisisnlp-cf,RT @TheOfficePosts: Hey Pam... will you wait for me one second while I tie my shoe? - Jim Halpert http://t.co/7CAs6tXc1F,en,,not_informative
94,382824241579556864,2013_pakistan_earthquake,crisisnlp-cf,"RT @farah_lodhi: #Peshawar: 7 days , 3 attacks, 136 dead. Responsibility? Performance? Security? Delivery? Competence? that 90 days statemâ€¦",en,1.0,informative
97,591903031400275970,2015_nepal_earthquake,crisisnlp-cf,"RT @carolineheldman: My sister @Heldman is alive, are well as her fellow trekkers! They are trapped above an avalanche in the #Langtang reg‰Û_",en,,informative
101,382833289418903552,2013_pakistan_earthquake,crisisnlp-cf,"RT @Tearfund: More than 80 people were killed last Sunday when two suicide bombers attacked a church in Peshawar, #Pakistan. http://t.co/EVâ€¦",en,1.0,not_informative
102,503645267464163328,2014_california_earthquake,crisisnlp-cf,Pulling a double shift to go help the earthquake relief in Napa.,en,,informative
109,591903262879678464,2015_nepal_earthquake,crisisnlp-cf,"As instructed by HEP Yameen, Tourism industry sponsored the Maldivian flight to bring Maldivian's in Nepal Tomorrow,coordinated by FM Dunya!",en,,informative
110,451188057719709696,2014_chile_earthquake,crisisnlp-cf,@justinbieber pleaseeee babeeee notice me _ôÖ©ä_¥Ÿ,en,1.0,not_informative
114,382827838987976704,2013_pakistan_earthquake,crisisnlp-cf,"RT @ShereenAljarrah: Earthquake Again. Lord save #Pakistan from natural calamities. But send zombies to kill rapists, extremists &amp; corrouptâ€¦",en,1.0,informative
120,451188899180994560,2014_chile_earthquake,crisisnlp-cf,@louiseminchin RE Chile...the coast line is 1000's of miles long. Where in Northern Chile was the earthquake? @bbcbreakfast,en,1.0,informative
121,382830118541852673,2013_pakistan_earthquake,crisisnlp-cf,RT @CNBCPAKISTAN: More: upto 120 seriously wounded by #Earthquake in #Awaran and other parts of Balochistan are to be shifted to #Karachi,en,1.0,informative
122,575740430731509761,2015_vanuatu_cyclone,crisisnlp-cf,"First time we've been back to Iririki post-#TCPam. Yachts impaled into the jetty, no power. We can't return just yet. http://t.co/f1Fgs53HPb",en,,not_informative
124,591903375760830465,2015_nepal_earthquake,crisisnlp-cf,Prediction time - Concern trolls will start telling African-Americans Stop complaining at least u aren't n Nepal. #bank,en,,not_informative
126,591903308228374528,2015_nepal_earthquake,crisisnlp-cf,Help collect information on the Nepal Earthquake  http://t.co/gjVIlX1s2f #culturalheritage #culturalsites,en,,informative
127,498500409754136577,2014_india_floods,crisisnlp-cf,"RT @ukfloodtweets: Monsoon floods hit Uttar Pradesh, 1500 villages under water - Yahoo Finance UK: Indian ExpressMonsoon floods h... http:/‰Û_",en,0.9622161388397216,informative
128,575740510901420032,2015_vanuatu_cyclone,crisisnlp-cf,[RSMC-JMA] Tropical Cyclone Advisory for Analysis and Forecast 2015-03-16T09:00:00Z http://t.co/zvpzB1upQo,en,,informative
132,575796338098634753,2015_vanuatu_cyclone,crisisnlp-cf,@LMBR_50 Cyclone stops Top End meat delivery: A Northern Territory meatworks has been forced to freeze the beef it has been unable to...,en,,informative
136,503644119919759360,2014_california_earthquake,crisisnlp-cf,"RT @earthquakesnow: Earthquake 3.9 mag, 3 km WNW of American Canyon, California - http://t.co/UY2qNWzmqW #earthquake #quake",en,,informative
137,503643916131131393,2014_california_earthquake,crisisnlp-cf,RT @DamatoK: Just 10%-11% of California homes with homeowners insurance have earthquake coverage http://t.co/VUSvNP7MOS http://t.co/uOlb0prâ€¦,en,,informative
147,503644451453935616,2014_california_earthquake,crisisnlp-cf,RT @EthanBearman: Fascinating #tech look at #data of #earthquake - How did the Napa earthquake affect sleep? https://t.co/uTH3p7Xc2p #napaqâ€¦,en,,informative
148,451189904723431424,2014_chile_earthquake,crisisnlp-cf,President Cautious as 8.2 Quake Kills 5 in Chile: Chile's President Bachelet cautious on tsunami threat as 8.2 quake kills 5 in north...,en,1.0,informative
149,451187907613949952,2014_chile_earthquake,crisisnlp-cf,"@ddlovato  Thanks Demi, TE AMO from CHILE",en,0.9142716526985168,not_informative
155,591902843554041857,2015_nepal_earthquake,crisisnlp-cf,"RT @RajivPratapRudy: Under 14 Indian girls soccer team trapped in Kathmandu.Talked to .@SushmaSwaraj ji, Embassy organizing immediate evacu‰Û_",en,,informative
157,451188428399337472,2014_chile_earthquake,crisisnlp-cf,#PrayForChile hope everyone is doing alright over there à_Š5,en,1.0,informative
159,451187889750028289,2014_chile_earthquake,crisisnlp-cf,2 Confirmed Dead In Chile After Massive Earthquake Struck: Two people were confirmed dead and three were serio... http://t.co/fH6DufML5q,en,1.0,informative
160,575769563435900928,2015_vanuatu_cyclone,crisisnlp-cf,RT @oxfamgb: Cyclone Pam has devastated communities in Vanuatu. Oxfam is there. Donate and save lives. https://t.co/WMlwuFJ6K9,en,,informative
165,591902952308146176,2015_nepal_earthquake,crisisnlp-cf,#Google Responds To Nepal Earthquake; Deploys Person-Finder Tool http://t.co/QuPVvVHzb4,en,,informative
172,498497954681192448,2014_india_floods,crisisnlp-cf,"Nepal, India floods leave nearly 200 dead, scores missing http://t.co/BUTBbVK2Rj",en,1.0,informative
178,382831903751286784,2013_pakistan_earthquake,crisisnlp-cf,'Awaiting Aid: People affected by #Balochistan #Earthquake face growing problems as response teams struggle to help' http://t.co/TxLF33FuQ6,en,1.0,informative
184,382831682296233984,2013_pakistan_earthquake,crisisnlp-cf,"Intresting trend on Twitter:  India, #LetsHaveAmanKiAshaWithTalibanToo, #Earthquake, #Balochistan #Pakistan",en,1.0,not_informative
185,498501190062051328,2014_india_floods,crisisnlp-cf,"#India news - Odisha Flood Toll Mounts to 45, Water Level Goes Down http://t.co/sbMAwlrjXU",en,1.0,informative
190,498510900030996480,2014_india_floods,crisisnlp-cf,Flooding in Nepal and India leave many dead. http://t.co/QO5wJpIwwf,en,1.0,informative
196,382827339383840768,2013_pakistan_earthquake,crisisnlp-cf,More than 700 people died in #Earthquake and 80 in #Peshawar Blast. But indifferent #KingOfRaiwind is just having a fun on foreign tours.,en,1.0,informative
199,591903376025223169,2015_nepal_earthquake,crisisnlp-cf,.@RichardGSimpson a good example of spatial industry helping shape a better future! http://t.co/9r3cOgR6YP #OpenStreetMap #Pivotal2015,en,,not_informative
202,575786816403451904,2015_vanuatu_cyclone,crisisnlp-cf,Post a picture of your favorite building or monument! ‰ÛÓ masterpiece Neo Amstrong Cyclone Jet Amstrong . entah ... http://t.co/Rul7BFII9a,en,,not_informative
203,591903308589109253,2015_nepal_earthquake,crisisnlp-cf,RT @UofT: #UofT extends its condolences to those in #Nepal. Services are available to students and staff affected: http://t.co/KXywyHy1XO,en,,informative
206,591903136408702976,2015_nepal_earthquake,crisisnlp-cf,RT @livemint: Explained: The #Nepal earthquake and why more can be expected in the future http://t.co/UakKgEg4UO http://t.co/DhzuaZ6vVS,en,,informative
213,591903015424159744,2015_nepal_earthquake,crisisnlp-cf,"RT @WNEW: Death toll in #NepalEarthquake passes 5,000 as first aid shipments reach area near epicenter. (via @AP)",en,,informative
214,575788179443220480,2015_vanuatu_cyclone,crisisnlp-cf,RT @lalochezic: Vanuatu residents called resilient in Parliament. Christchurch residents will know what that means,en,,informative
223,503643171327602689,2014_california_earthquake,crisisnlp-cf,Earthquake Blacks Out California http://t.co/BInjnRISq2,en,,not_informative
224,498501234148802561,2014_india_floods,crisisnlp-cf,"RT @InfoblazeIND: #Floods wreak havoc in #Uttarakahand, #Assam, #UttarPradesh, #Bihar; lakhs affected | http://t.co/DohvISWf0W | #India #In‰Û_",en,0.3716960251331329,informative
225,451189179255631872,2014_chile_earthquake,crisisnlp-cf,RT @The_Japan_News: 30cm #tsunami generated by yesterday's magnitude-8.2 #quake off Chile observed in Iwate city of Kuji.,en,1.0,informative
228,382815466344816640,2013_pakistan_earthquake,crisisnlp-cf,"no blankets, no tents, no food @alishahjourno on @BBC_WHYS #Pakistan earthquake. PRAY. ACT.",en,1.0,informative
230,382828320339288064,2013_pakistan_earthquake,crisisnlp-cf,"#Earthquake of M 4.2 - 46km W of Awaran, Pakistan http://t.co/M0hHagJcYp",en,0.561489462852478,informative
231,451188073209290752,2014_chile_earthquake,crisisnlp-cf,I hope everyone stay at safe in Chile. Please take deep breathing.  #PrayForChile,en,1.0,informative
236,503643216424357888,2014_california_earthquake,crisisnlp-cf,RT @THEguywilson: Sending thoughts and prayers to all those affected by the earthquake. #Napa #NapaEarthquake,en,,informative
249,503643308460347392,2014_california_earthquake,crisisnlp-cf,"120 injured, 3 critical after Napa, California quake: The quake is the strongest to hit the region ... http://t.co/mj2TNy1FUh #USA #News",en,,informative
251,575753312257073153,2015_vanuatu_cyclone,crisisnlp-cf,Most Vanuatu people now homeless http://t.co/5t7WFY39rw,en,,informative
253,382815351211175936,2013_pakistan_earthquake,crisisnlp-cf,"Humanitarian Appeal: Disaster, Death &amp; Debris - Lingering Survivors of Balochistan #Earthquake http://t.co/AzPjZi0QcX",en,1.0,informative
255,382830294060892160,2013_pakistan_earthquake,crisisnlp-cf,RT @AJELive: A new #earthquake has struck the southwestern Pakistani province of Balochistan | Developing story: http://t.co/Qj2BU2IBuK,en,1.0,informative
262,591903393427410944,2015_nepal_earthquake,crisisnlp-cf,RT @AnupKaphle: #Nepal police is arresting small store owners in Kathmandu who're inflating prices of daily goods. http://t.co/klES6SwoMM,en,,informative
265,575740508011548672,2015_vanuatu_cyclone,crisisnlp-cf,One report: Cyclone Pam leaves 'most' of #Vanuatu population homeless. ABC: http://t.co/PChdgmBx3z #auspol Australia sends aid.,en,,informative
270,451187726008991744,2014_chile_earthquake,crisisnlp-cf,"RT @InfiniteCrewINA: #PrayForChile #PrayForSouthKorea #PrayForIndonesia #PrayForNigeria  Whatever your religions are, lets keep praying. htäó_",en,1.0,informative
273,503643985429024768,2014_california_earthquake,crisisnlp-cf,"RT @quakenotices: #quake  2014-08-24 10:20:44 UPDATED: (M6.1) SAN FRANCISCO BAY AREA, CALIFORNIA 38.2 -122.3 (1cbfb) http://t.co/ku2QdM7Bg9",en,,informative
276,575791384113774592,2015_vanuatu_cyclone,crisisnlp-cf,@CornTyler @cal_graham93 the ol Pam,en,,not_informative
277,591903360124588032,2015_nepal_earthquake,crisisnlp-cf,RT @love_belfast: Oxfam Ireland have launched emergency appeal.  https://t.co/TC8Utc3aSH or on 08000304055 #NepalEarthquake http://t.co/mK6‰Û_,en,,informative
290,591902873266552832,2015_nepal_earthquake,crisisnlp-cf,RT @Revelation1217: There Will Be Earthquakes: The Crust Of The Earth Violently Roars To Life In Chile And Nepal https://t.co/WngQfEg8oT vi‰Û_,en,,not_informative
297,382831032476516352,2013_pakistan_earthquake,crisisnlp-cf,RT @PawanDurani: Nasa releases images of new island formed in occupied #Balochistan earthquake http://t.co/OtNBWZeSwl,en,1.0,informative
303,498498145563582464,2014_india_floods,crisisnlp-cf,Nepal and India begin relief efforts as monsoon floods claim at least 180 lives #Worldnews http://t.co/tNEWFpY3J4,en,1.0,informative
305,503644171606192128,2014_california_earthquake,crisisnlp-cf,Some roads in downtown Napa closed due to earthquake damage. @ewengerKPIX with more @CBSSF,en,,informative
312,503643489037737984,2014_california_earthquake,crisisnlp-cf,RT @GrapeOccasions: Napa Earthquake Rocks Wine Country (VIDEO) http://t.co/C2zYwWd8H7 via @WineOhTV #wine #napa,en,,informative
319,575753264899231744,2015_vanuatu_cyclone,crisisnlp-cf,"I am not handling the Pam/Jim sitch. He's seeing someone else (who is nice, damn her!), she's hiding her true feelings....",en,,not_informative
321,382828528070586368,2013_pakistan_earthquake,crisisnlp-cf,#BalochGenocide: Five more dead bodies found from Panjgur were brutally killed by Pakistani forces. #Balochistan @UN https://t.co/fjGcwHm82o,en,1.0,informative
323,382817970868588544,2013_pakistan_earthquake,crisisnlp-cf,"15 killed, 25 injured in terrorist attack on a govt. employees bus in #Peshawar: http://t.co/SxFjnxOvSW #Pakistan (via @etribune)",en,1.0,informative
328,591903287747674112,2015_nepal_earthquake,crisisnlp-cf,RT @preshitorian: Donate to Nepal via Oxfam: http://t.co/QYbgzEj5qY,en,,informative
342,575800057682853888,2015_vanuatu_cyclone,crisisnlp-cf,RT @AlexDMitchell: With @KitUsOut I meet some wonderful people from #Vanuatu &amp; #Tuvalu during #CommonwealthGames Thoughts are with them all‰Û_,en,,informative
343,498508141408309248,2014_india_floods,crisisnlp-cf,India Monsoon Flooding (from @AP) http://t.co/sR6txB5xNj,en,0.9178854823112488,informative
345,503644510728249344,2014_california_earthquake,crisisnlp-cf,RT @IBEW: #IBEW members respond to Napa earthquake http://t.co/lquhFd5QbH #1u via @IBEWlocal1245,en,,informative
349,591903334983802881,2015_nepal_earthquake,crisisnlp-cf,RT @AP: 1st survivors of avalanche at Everest base camp flown to Nepal's capital; injuries not deemed life-threatening: http://t.co/xdilDYM‰Û_,en,,informative
355,503645392248922112,2014_california_earthquake,crisisnlp-cf,I wish that gay earthquake in California had killed all the transgendered people,en,,informative
365,575784532957401088,2015_vanuatu_cyclone,crisisnlp-cf,"RT @JRehling: #CyclonePam, a Category 5 storm in the southern Pacific, is going to hit the island nation of Vanuatu later today. http://t.c‰Û_",en,,informative
370,451188938942607361,2014_chile_earthquake,crisisnlp-cf,"RT @radioworldsv: For the breaking tweets on #tsunami warnings/info for #Chile &amp; #Peru, follow @NWS_PTWC (NOAA NWS Pacific Tsunami Warning äó_",en,0.8331777453422546,informative
373,503643289317552128,2014_california_earthquake,crisisnlp-cf,Napa Valley 2014 earthquake â€“ Damage to vineyards #wine #earthquake http://t.co/Nr5OkMa0Lk,en,,informative
375,591903052744953857,2015_nepal_earthquake,crisisnlp-cf,New: Nepal quake aid effort stepped up http://t.co/oKATy4iInf,en,,informative
377,498501271137955840,2014_india_floods,crisisnlp-cf,"Latest : Odisha floods: Death toll climbs to 45, 4.8 lakh marooned - Firstpost: NDTVOdisha floods:... http://t.co/5r568q2NO2 #IndianNews",en,1.0,informative
378,503645556787646464,2014_california_earthquake,crisisnlp-cf,Our thoughts &amp; best wishes are with our fellow winemakers in #Napa http://t.co/gcp8LANqhk,en,,informative
381,503643746211090432,2014_california_earthquake,crisisnlp-cf,RT @mercnews: Napa earthquake: UC-Berkeley ShakeAlert system gave 10 second warning of 'light' shaking http://t.co/61fzKQvwKg,en,,informative
386,503643877115703296,2014_california_earthquake,crisisnlp-cf,"3 people critically injured after California quake: NAPA, Calif. (AP) -- A large earthquake ... http://t.co/JRxRcCD2zE via @wcdailylocal",en,,informative
394,575789932028956673,2015_vanuatu_cyclone,crisisnlp-cf,"RT @UN: #CyclonePam: @WFP is providing food, logistics &amp; emergency telecommunications http://t.co/A4R8wdihBc http://t.co/92XJDY8EpP",en,,informative
400,503645086958096386,2014_california_earthquake,crisisnlp-cf,"Of all the Napa earthquake skate tweets, I like the caption If life gives you earthquakes, skate it best.",en,,not_informative
402,575769574034960384,2015_vanuatu_cyclone,crisisnlp-cf,RT @smitharyy: åÈ http://t.co/q1g0EqmGRb #Vanuatu Vanuatu At least 8 dead as cyclone slams into Pacific's Vanuatu  åÈ NEWS åÈ Ontario CAN Toro‰Û_,en,,informative
406,591903104750223362,2015_nepal_earthquake,crisisnlp-cf,RT @KarenL109: PLEASE RT - Nepal Earthquake Appeal @RotaryGBI Donations Trust https://t.co/o32L2w6uDP,en,,informative
407,382819139858870272,2013_pakistan_earthquake,crisisnlp-cf,"More than 4,500 people have been killed since April in a surge of violence by insurgents in  #Iraq.   #Iran #Pakistan",en,1.0,informative
409,591902847962198016,2015_nepal_earthquake,crisisnlp-cf,RT @ShiwaniNeupane: Looking for phone number of transport companies in Kathmandu. Need to deliver aid to Gorkha immediately. Please send if‰Û_,en,,informative
410,451190281090895872,2014_chile_earthquake,crisisnlp-cf,RT @LucasvonHauser: I want to take a moment and ask #PrayForChile,en,1.0,informative
412,591902753204535296,2015_nepal_earthquake,crisisnlp-cf,RT @taslimanasreen: OMG! Pakistan sent beef to Nepal? Missionaries sent Bibles to Nepal? Monotheism sucks.,en,,informative
414,591903034252328961,2015_nepal_earthquake,crisisnlp-cf,RT @ewnupdates: [LISTEN] Mother of man trapped in Nepal fears for his safety http://t.co/1uXracZDg6 #NepalEarthquake http://t.co/OXN6e8J5vw,en,,informative
415,575782063153926144,2015_vanuatu_cyclone,crisisnlp-cf,"RT @UNICEFNZ: More than 60,000 children in #Vanuatu are in mortal danger. They need our help: http://t.co/nmvQAp6Yzt #CyclonePam http://t.c‰Û_",en,,informative
425,503645146844758016,2014_california_earthquake,crisisnlp-cf,"RT @raleys: We were pleased to donate 8,000 gallons of water to help our Napa/Vallejo Salvation Army partners w #napaquake relief http://t.â€¦",en,,informative
428,451189695494369283,2014_chile_earthquake,crisisnlp-cf,"Damn, second big earthquake in Chile back to back, but then again that's an earthquake prone region.",en,1.0,informative
431,382830787390754816,2013_pakistan_earthquake,crisisnlp-cf,RT @Disastermusical: RT to win free tix to @Disastermusical previews! Starts Oct14th #earthquake #TidalWave #DonnaSummer #StevieWonder #Barâ€¦,en,1.0,not_informative
432,591903331263455233,2015_nepal_earthquake,crisisnlp-cf,RT @lowendguy: much more interested in nepal than fucking baltimore,en,,not_informative
433,498498228825104385,2014_india_floods,crisisnlp-cf,"Scores Killed in Flooding in Nepal and India: More than 11,000 homes have been damaged and roughly 17,000 vill... http://t.co/yAHPu2Om0Y",en,1.0,informative
441,451187767251173376,2014_chile_earthquake,crisisnlp-cf,Another big aftershock off Chile's northern coast: Tsunami alert issued after 2nd big quake in two days http://t.co/eC2bSkWJif,en,1.0,informative
442,575748495472136193,2015_vanuatu_cyclone,crisisnlp-cf,RT @norightturnnz: Shouldn't we be deploying the NZDF to Vanuatu rather than Iraq? Its the mission they exist for...,en,,not_informative
448,451188026283028480,2014_chile_earthquake,crisisnlp-cf,Another earthquake in Chile _ôÖ_,en,1.0,informative
452,498506161482510336,2014_india_floods,crisisnlp-cf,"Six Years after, No Shelter Homes for Flood-prone - The New Indian Express http://t.co/4esodVy8HM via @NewIndianXpress",en,1.0,informative
453,591903374074744832,2015_nepal_earthquake,crisisnlp-cf,"#occypy #capitalism How To Help Earthquake Victims In Nepal: As most know by now, earlier this w... http://t.co/r3wGpxKCkE stop #poverty",en,,informative
456,591902903805181952,2015_nepal_earthquake,crisisnlp-cf,RT @StateDept: .@JohnKerry: US will provide additional $9 million for #NepalQuake response &amp; recovery efforts. http://t.co/2oxTcUlo8o,en,,informative
464,451189596903071744,2014_chile_earthquake,crisisnlp-cf,RT @rachelftlubis: Stay safe guys! #PrayForChile and #WaspadaTsunamiIndonesia à__F http://t.co/VYtFiW28Vv,en,0.9683977365493774,informative
470,591903331649454080,2015_nepal_earthquake,crisisnlp-cf,RT @IISuperwomanII: Thoughts and prayers are with you Nepal &lt;3,en,,informative
482,503643683426533376,2014_california_earthquake,crisisnlp-cf,RT @heyyouapp: Â¦ http://t.co/4LByErEec9 85 Â¦ 6.0 earthquake jolts Bay Area damage and at least 87 injuries reported  #earthquake Â¦ It was tâ€¦,en,,informative
484,382836912069050368,2013_pakistan_earthquake,crisisnlp-cf,"RT @timesofindia: Death toll from #earthquake in #Pakistan rises to 348, more than 500 injured. (AP)",en,1.0,informative
490,451189383459532800,2014_chile_earthquake,crisisnlp-cf,"RT @Dime_Privona: 8.2 Magnitude Earthquake Rocks Chile, Threatens Tsunami  #CarlosMendieta_Here",en,0.9729018211364746,informative
492,382836263696748544,2013_pakistan_earthquake,crisisnlp-cf,"The immensity of destruction.. â€œThe Crisis in Haiti: An Assessment,â€ #Earthquake #CabConverg #Peacebuilding http://t.co/YtvlpqUgXI",en,1.0,informative
498,575842316755288064,2015_vanuatu_cyclone,crisisnlp-cf,#The UN asks for $38m to help Vanuatu - Sky News Australia http://t.co/zEH1f7JtYM,en,,informative
502,591903260287447044,2015_nepal_earthquake,crisisnlp-cf,World ‰Û¼ Riot police intervene as anger erupts among Nepal quakeåÊsurvivors http://t.co/NIeytXojRo,en,,informative
504,451190137561808896,2014_chile_earthquake,crisisnlp-cf,RT @101FOLLOWBACK1: 5 dead as powerful quake hits off Chile  http://t.co/Qg85QU9oWG,en,1.0,informative
505,382813996354510848,2013_pakistan_earthquake,crisisnlp-cf,"#earthquake: M 2.3, Southern California http://t.co/P7YGfPBbQE",en,1.0,informative
507,498510508538871809,2014_india_floods,crisisnlp-cf,"@RanaAyyub @IndianExpress a flood of fictions, hope its not done with tax-payers amounts somehow",en,1.0,not_informative
508,591903034977886208,2015_nepal_earthquake,crisisnlp-cf,RT @timesofindia: All calls made from BSNL network to Nepal will be charged as local calls for next 3 days. PTI,en,,informative
513,382832635627978752,2013_pakistan_earthquake,crisisnlp-cf,I'm either high on sugar or it's the earthquake. #dizzy #earthquake,en,1.0,not_informative
514,591903017953202177,2015_nepal_earthquake,crisisnlp-cf,"RT @ChristiAnne67: People working togerther @Virat9x will help rebuild &amp; heal #Nepal, not #prayers or imagined #gods. http://t.co/HdwfmZo8J4",en,,informative
516,451187767507447808,2014_chile_earthquake,crisisnlp-cf,Was there an Earthquake in Chile or something recently?,en,1.0,not_informative
519,503643045867188224,2014_california_earthquake,crisisnlp-cf,"RT @EditInfluence: Top story: M6.0  - 6km NW of American Canyon, California 2014-08-24 10:20:44 UTC http://t.co/xqp2iRgIKw, see more http:/â€¦",en,,not_informative
521,451188592250200064,2014_chile_earthquake,crisisnlp-cf,"Tsunami Warning , Chile earthquake 8.0 Magnitude #Chile #ChileEarthquake #Tsunami",en,0.682744562625885,informative
522,451187687660068864,2014_chile_earthquake,crisisnlp-cf,RT @RT_com: BREAKING: First #tsunami waves reach #Chile coastline after massive aftershock äóñ navy http://t.co/rF6wNaMDgY,en,1.0,informative
525,575769569215688704,2015_vanuatu_cyclone,crisisnlp-cf,The Cyclone Of Rye Cove Carter Family http://t.co/kI6JqHrnIn #swva,en,,not_informative
528,591902880669437953,2015_nepal_earthquake,crisisnlp-cf,Idaho Natives In Nepal Reassure Relatives In Wake of Earthquake http://t.co/gK6Uj10wjQ,en,,informative
530,503643550391603200,2014_california_earthquake,crisisnlp-cf,RT @itvnews: State of Emergency declared after California earthquake http://t.co/b8VCWlMEgg,en,,informative
536,451189400576491520,2014_chile_earthquake,crisisnlp-cf,7.6 and 6.4 aftershocks hit same area of northern #Chile as Tuesdayäó»s 8.2 quake http://t.co/86xEi08lE6 #news #politics #IntelMM #OSINT,en,1.0,informative
542,451190153273679873,2014_chile_earthquake,crisisnlp-cf,rt for an indirect {mbf} _ôÍ´_ôÖ_,en,0.988954484462738,not_informative
544,498507870863097856,2014_india_floods,crisisnlp-cf,"Deadly monsoon hits India, Nepal #UsefulUpdates Check it out here http://t.co/Ov2QMd7nST",en,1.0,informative
546,591903040879202306,2015_nepal_earthquake,crisisnlp-cf,RT @bindasbhidu: My prayers for people of #Nepal #NepalQuake  https://t.co/JDoiUPJC3J,en,,informative
