,tweet_id,tweet_text,class_label,event,source
240,871640447155937280,WFP provides assistance for Flood and Landslide victims  #srilanka #LK #lka,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
140,874152848350740481,US Navy ship USS Lake Erie arrives in Sri Lanka on flood relief mission -  #GoogleAlerts,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
44,873892784557764608,#US #military ship #USSLakeErie has arrived #SriLanka with 150 military to help #floodSL effected people @PacificCommand @USPacificFleet,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
17,870320695624040450,RT @dmc_lk: For Donations #SLFloods2017 #FloodSL,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_dev
229,874152648911540224,UAEs Lulu Group donates $100000 for flood relief in Sri Lanka -  #GoogleAlerts,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
19,870198325898878976,Early warning saves lives as Cyclone Mora strikes Bangladesh and Sri Lanka  #news,caution_and_advice,srilanka_floods_2017,srilanka_floods_2017_dev
217,870217230671376384,More than 1 million raised for flood relief so far! from 23 countries @RajanAnandan @anushwij @deshald truly global effort to help #SL,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
24,876132870527623168,"RT @opendoorssa: #Pray for #provision and #comfort for those affected by the recent floods in #SriLanka; some lost everything, including lo",sympathy_and_support,srilanka_floods_2017,srilanka_floods_2017_test
100,869957658752757760,RT @WorldVisionLK: Images captured on our way to distribute relief goods in #Ratnapura #FloodReliefLKA #FloodSL #Flood2017,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
1,873498581344419840,"RT @japan_lanka: During their stay, the Expert Team members visited landslide and flood affected areas in Eheliyagoda,Kalutara and Rathnapu",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
125,874774391716024320,Honduras - Deadly Floods in Choluteca After 190 mm Rain in 24 Hours  via @Flood_List #lka #srilanka,injured_or_dead_people,srilanka_floods_2017,srilanka_floods_2017_train
343,870018981658099712,"RT @NewPakistan2020: I Will be sending food packs and tents to #SriLanka&amp;Bangladeshs floods, 100000s Pakistanis gatherings supplies for",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
266,870589481862258688,"Cyclone Mora: Snapped power lines, poor network in several North-Eastern states  via @scroll_in #lka #srilanka",infrastructure_and_utility_damage,srilanka_floods_2017,srilanka_floods_2017_train
110,870136463723085825,I am not from Srilanka but this is hurtful!! Everyone please pray for all the victims..Your 1 minute prayer can save someones life #FloodSL,sympathy_and_support,srilanka_floods_2017,srilanka_floods_2017_test
330,870500670440325120,RT @NigelHSpence: .@ChildFundAU is supporting ChildFund #SriLanka response to devastating floods. Creating safe places for children displac,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
82,878173887871299585,RT @LiveRiceIndex: The U.N. warns that a severe drought followed by floods has affected #rice production in #SriLanka,caution_and_advice,srilanka_floods_2017,srilanka_floods_2017_train
5,870252659537784833,Flood Donations #workplace # visit #srilanka #president @ District,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
149,871781890004590596,@USArmy engineers and Reserve Officer Training Corps cadets are cleaning and repairing #FloodSL damaged schools in the #Kalutara district.,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
82,870252389672116224,Saddened to learn about the #SriLanka mishap. My thoughts with those who are injured &amp; condolences to families who lost loved ones!,injured_or_dead_people,srilanka_floods_2017,srilanka_floods_2017_test
196,870941166686138370,RT @official__sp: Islandwide water level 03 june 2017 09.30am #slfloods #FloodSL #floods #SriLanka,caution_and_advice,srilanka_floods_2017,srilanka_floods_2017_train
49,870412139915235328,RT @AzzamAmeen: Pictures of Chinese &amp; Pakistani medical teams working in Floof affected areas #FloodSL,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_dev
132,869979073144999936,We at Ramani Fernando Salons are collecting dry rations for the victims of the recent floods. #OneSriLankaProject #FloodSL,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
85,870503190202007556,"EU provides €300,000 to support aid delivery to flood victims in Sri Lanka: Sri Lanka must have an international aid agency in place",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
93,870163168810737664,Pak believs in Humanity Pak Navy Free Medical Cmp 2day in Sri Lanka providng Health Care 2 victims of FLOOD @MoeedNj @Asad_Umar @ShkhRasheed,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
371,869952624593915904,RT @Vidiyallk: Rescue &amp; Relief Activities by #Pakistan Navy Teams in #SriLanka #lka #floodSL #FloodRelief,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
375,870097513096794112,RT @AlokSharma_RDG: Shocked &amp; saddened by the dreadful flooding in #SriLanka. My thoughts are with the Sri Lankan people and those affected,sympathy_and_support,srilanka_floods_2017,srilanka_floods_2017_train
145,872097456472948736,US contributes Rs350 mln for Sri Lanka flood relief,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
353,871010379979255808,#US Ambassador @USAmbKeshap met President @MaithripalaS &amp; pledged Rs.350 million assistance to people affected by #floodSL &amp; landslides,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
6,875377891630034944,RT @ColomboPageNews: ADB approves $2 mn grant for flood and landslide relief in #SriLanka @ADB_HQ,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
79,870395098927964160,RT @IsraelandStufff: #Israel Sends Team to Flood-Stricken Sri Lanka With Emergency Aid Israel’s Ambassador to #SriLanka delivered,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
68,870093040429522948,RT @adaderana: Govts. flood relief efforts have been disappointing - Mahinda Read more:  #lka #srilanka .,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
97,870458027064741888,RT @EmetNews: #Israel Rushes Aid to #SriLanka as Floods Displace Tens of Thousands:,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
192,872123507961942017,"RT @Dailymirror_SL: ‘Changumi’ donates US $ 50,000 for flood relief efforts in #SriLanka",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
41,871669889920102400,#EU #humanitarian partners are distributing #emergency relief items &amp; assessing further needs after #SriLanka #floods #FloodSL,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
50,871333149816438785,.@ArmyROTC cadets &amp; @PacificCommand Augmentation Team disaster relief experts assist w/#FloodSL clean-up &amp; repairs at schools in Kalutara,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
66,870325729241726976,RT @democracynow: Sri Lanka: Death Toll from Flooding Tops 200  #FloodSL,injured_or_dead_people,srilanka_floods_2017,srilanka_floods_2017_test
254,871653148196315136,Floods bring with them the potential of illnesses spreading - but precautions can be taken #FloodSL,caution_and_advice,srilanka_floods_2017,srilanka_floods_2017_train
27,870245570039996416,RT @BreakDengue: At least 177 people have died in #SriLanka floods — and the survivors are at risk of #dengue fever,injured_or_dead_people,srilanka_floods_2017,srilanka_floods_2017_train
23,871007108162093056,"RT @priyatharshan1: Death toll due to adverse weather increased to 224; 78 missing &amp; 698,289 affected: #DMC #lka #FloodSL",injured_or_dead_people,srilanka_floods_2017,srilanka_floods_2017_test
293,870212834210312192,"Israel, Jewish group provide emergency aid to flood-stricken Sri Lanka: Hundreds killed, thousands displaced  JPost",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
136,873969565322969089,"RT @EllieWorldwide: If you want to help Sri Lanka #flood #disaster, please support @TeamRubiconUK - volunteers flying in now. Donate at htt",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
46,870224110848102400,Donate now to help families recover:  #SriLanka #FloodSL #recovery,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
42,870447164660600833,"#PrayForSriLanka ἟1἟0! 91 Deaths, 110 missing, 300 houses damaged &amp; 20,000 families affected due to Landslides &amp; #FloodSL #SriLanka #LKA",sympathy_and_support,srilanka_floods_2017,srilanka_floods_2017_test
13,873397891196440582,Bravo #Israel for being among the first countries to help #SriLanka as it recovers from devastating floods that occurred over the weekend,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
17,871042730356465664,RT @colombogazette: US provides Rs. 350 million for flood relief  via @colombogazette @USAmbKeshap #srilanka #lka #us,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
51,870225986448764928,RT @MitKat_Advisory: #SriLanka: #Navy continues with rescue and relief efforts in #flood affected areas; Southern Expressway opens for moto,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
165,869994061343580160,Worrying start of #Asia #monsoon - #floods in #Srilanka and first #cyclone threatening #Myanmar and #Bangladesh,caution_and_advice,srilanka_floods_2017,srilanka_floods_2017_train
15,870237860821164032,Visiting Chinese navy fleet donates relief materials to flood-stricken Sri Lanka Photos: 81.cn,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
11,870515836947120129,RT @angloyankophile: So sad to hear about the flood in #SriLanka - a country that is close to my heart and one that we love to visit.,sympathy_and_support,srilanka_floods_2017,srilanka_floods_2017_train
10,870672480347840512,Flood relief from North to South ὠAὄD #FloodSL #FloodReliefLKA,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_dev
263,871744220104728576,".@UNSriLanka on #SriLanka #floods #landslides: increase in no. of damaged houses, 22,000 ppl still in safe sites",infrastructure_and_utility_damage,srilanka_floods_2017,srilanka_floods_2017_train
333,871032731697860608,"Dry rations packs for Flood victims from friends in France. #DHSL @ Matara,Sri Lanka මාතර.",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
99,873525428136415232,Rs.8 bn &amp;more needed to repair damage caused by floods &amp;landslides in #SriLanka Disaster Management Minister #Priyadharashna in Parliament.,infrastructure_and_utility_damage,srilanka_floods_2017,srilanka_floods_2017_train
11,873586632011788288,"#Srilanka Flood/Landslides 122 dead 97 missing according to Disaster Management Center as of 9 pm today, 1800 houses damaged #FloodSL #lka",injured_or_dead_people,srilanka_floods_2017,srilanka_floods_2017_test
80,871356875471826944,"@dmc_lk, local officials, @USArmy @usafrotc &amp; @USPacificFleet Command Augmentation Team experts assist to clean #FloodSL @USAmbKeshap",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
201,870040060888010752,RT @thamasha1996: My thoughts and prayers are with everyone back home in Sri Lanka affected by the #FloodSL. Stay safe!,sympathy_and_support,srilanka_floods_2017,srilanka_floods_2017_train
30,870848136155025408,.@UNDP together with other @UNSriLanka agencies are supporting the ongoing relief efforts in response to those affected by #floodSL,sympathy_and_support,srilanka_floods_2017,srilanka_floods_2017_dev
20,870359598640660480,"In #Gampaha our volunteers conducted a #firstaid camp for flood affected in Dompe &amp; Biyagama, supported by @CocaColaLK. #LKA #FloodSL",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
21,873692777292419072,RT @ItsYakin: MPs in the JO have decided to contribute their June salary to assist post #FloodSL relief activities except few due to bank l,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
37,870156452475813888,RT @UVAGpd: Praying for our Sri Lankan friends. #srilanka @Center4Politics @YLIYouthLeaders @megheubeck,sympathy_and_support,srilanka_floods_2017,srilanka_floods_2017_dev
112,873160845425086464,President Maithripala Sirisena made an inspection tour in areas affected by #FloodSL &amp; Landslides in Bulathsinhala #LKA #SriLanka,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
22,875525110421172224,RT @lankawire: UN appeals for more resources for flood-hit Sri Lanka,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
74,870058431566290944,RT @yamulk:  A working list of places to volunteer for Flood Relief 2017. #FloodSL #FloodReliefLKA Send us info and,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
2,873648602345861120,"Sri Lanka public helping flood victims, One of the best civilian relief efforts in the world, Take my lunch",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
62,870533145472507904,"RT @Newscloudlk: Government of Maldives donated A cheque of US $ 25,000.00 to Sri Lanka #FloodReliefLKA #floodSL #lka @maldives",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
44,873000716494942208,Heres how #UNICEF is responding to the floods affecting 1000s of families in #SriLanka. Well continue to monitor and respond. #FloodSL,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_dev
159,870524744184905731,"#FloodSL: As per DMC stats this morning, the death toll from recent disasters stands at 206, while 92 people are still missing",injured_or_dead_people,srilanka_floods_2017,srilanka_floods_2017_train
325,870140092597325825,.@Google helps #SriLanka Donate to the Center for Disaster Philanthropy to support #FloodSL. The nonprofit will receive 100% of all proceeds,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
359,872444513008201728,RT @Joan_ned: Glad to announce Netherlands Red Cross will contribute €200.000 to IFRC appeal to support victims #FloodSL @SLRedCross @Fede,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
378,871616366096396288,Representatives from the Colombo Port City Company assisting Sri Lanka flood victims. Read More:,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
279,879534428611117056,"In 2011, our disaster relief team helped 700 calves affected by #flooding in #SriLanka You can help again:",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
155,870258792675647488,"Raft capsizes in flood-hit Sri Lanka, kills three  #news",injured_or_dead_people,srilanka_floods_2017,srilanka_floods_2017_train
60,870882851230818304,Government allocates Rs. 166 million so far for flood victims  #srilanka #LK #lka,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
197,871020935402340353,"RT @CeylonMessenger: Death toll from floods, landslides rises to 211 #lka #FloodSL #Flood2017SL #2017",injured_or_dead_people,srilanka_floods_2017,srilanka_floods_2017_train
248,871670646127853568,"On June 3, a #Chinese cargo plane carrying emergency humanitarian relief arrives in #SriLanka hit by floods and landslides earlier this week",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
144,877879836408111104,RT @TimSuttonUNICEF: Good to see supplies from #chinaaid reaching the most badly affected areas from #FloodSL,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
194,878855642890596352,Sri Lanka : Flood and Landslide Emergency Response  #news,caution_and_advice,srilanka_floods_2017,srilanka_floods_2017_train
230,873381573017694209,Norway Foreign Minister @borgebrende announces Norway to donate LK 180 million towards relief efforts in #lka,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
203,870669703856902144,DEWN (Disaster Emergency Warning Network) GET ALERTS ON DISASTERS TO YOUR SMARTPHONE #SLFLoods2017 #FloodSL #lka #dmclk #FloodReliefSL,caution_and_advice,srilanka_floods_2017,srilanka_floods_2017_train
292,871666028228554752,Caution! Crocodiles spotted in the #FloodSL affected areas. Cartoon by @awanthaartigala #lka #SriLanka #SriLankaFloods #FloodReliefLKA,caution_and_advice,srilanka_floods_2017,srilanka_floods_2017_train
185,877757851657093120,Sri Lanka FM Ravi Karunanayake recivg INS Kirich &amp; crew @ Colombo port which rchd prmptly 2day 4 flood rescue &amp;relief followng PM directive,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
268,877124359478927360,Donation from #Bangladesh to assist the recent #floodSL victims handed over to President @MaithripalaS by @bdhcsl,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
24,871361624904409089,This #FloodSL aid adds to the approx LKR19 billion from @theOFDA &amp; the American people to #SriLanka since 2001. Read,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
10,870267486062735360,"RT @gopiharan: Water level situation in major rivers around the island as of 1530 hrs, 01.06.2017. Mostly normal/falling. #FloodSL /",caution_and_advice,srilanka_floods_2017,srilanka_floods_2017_test
91,872943584424677378,RT @Iyoshan: respect you Skipper @Angelo69Mathews you dedicated this win for the flood victims #SLvsIND #iccchampionstrophy2017 #FloodSL,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
67,870193083316490240,"RT @maritall: Norway provide NOK 10 million (USD 1,2 million) in flood and landslide relief to Sri Lanka #SLfloods #SriLankaFloods /",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
118,870545587204218880,EU provides 300000 euros to flood-hit Sri Lanka  #news,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
365,870244098338377728,RT @Panhinda: A new website collecting information on #relief requirements and providers. #lka #srilanka #SLFloods2017 #FloodSL,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
210,871262274819809281,Sri Lanka appreciates Chinas assistance for flood relief  #srilanka #news #lka,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
150,870256276869181440,"RT @Roarlk: #FloodSL: As per DMC numbers at noon today, 203 people have died, while 63 are injured and 96 remain missing after recent disas",injured_or_dead_people,srilanka_floods_2017,srilanka_floods_2017_train
377,870680149812944897,"The #SlGovernment has released Rs. 166,541,000.00 (166 M) for flood relief as of today 2Jun2017 @dmc_lk #SLFloods2017 #FloodSL #dmclk #lka",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
312,872379270810742785,The reception at the Disaster Management Ministry still has piles of relief supplies/donations for #FloodSL #lka #SriLanka,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
85,870907897026367489,@CopernicusEU supports #emergency management and #humanitarian aid not only through @CopernicusEMS but also through #sentinel #OpenData,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
388,872340003032104960,Flood donations granted under North-South Brotherhood  #SriLanka #LK #lka,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
331,873946068563755012,RT @USEmbSL: Welcome #USSLakeErie to #SriLanka for #FloodSL humanitarian assistance. @PacificCommand @USPacificFleet,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
385,870833926574616577,"IndianNavy n SL Navy joint medical camp n flood relief operations @ Nagoda Hospital, Kalutara @SushmaSwaraj @indiannavy @ANI_news #FloodSL",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
384,870471509059317760,"7 Ships belonging to India, Pakistan &amp; China has arrived in Colombo Port with relief teams &amp; materials #FloodSL #LKA #SriLanka",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
334,872714386133090304,RT @iomkingston:  - IOM to Assist Sri Lanka Flood and Landslide Victims in Worst Affected Areas,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
71,871943485468946432,Mission Flood Relief A couple of days ago Sri Lanka was glowing in the after-light of joyous Wesak celebrations.,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
103,870200332349054976,Half a million affected in #lka floods. Devlpmnt. arm of NCEASL now collecting relief. Visit  for more info. #floodsl,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
69,869986127561838592,"RT @TimesArunachal: Over 200 Killed In Sri Lankas Worst Flood Since 2003 COLOMBO, May 31 (PTI): At least 202 have died in Sri Lankas floo",injured_or_dead_people,srilanka_floods_2017,srilanka_floods_2017_train
158,870581484662476800,"#FashionBug, once one of their outlets was burnt by racist groups, has donated clothes to #FloodSL affected people. #FloodReliefLKA #lka",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
43,870495850681712641,Pakistan navy ship zulfiquar entered sri lanka ἟1἟0 for humanitarian mission during the recent flood #reliefmissions #pakistannavy ἟5἟0,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
66,875746672504078336,"RT @Madrid_exterior: SL FM #RaviKarunanayake, Adm. Wijeygunaratne &amp; I warmly thanked Captain &amp; crew of USS Lake Erie for #FloodSL relief wo",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
99,871577238403264512,US contributes Rs350mln for Sri Lanka flood relief #SriLanka #lka #lbo -,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
8,874484760739012609,RT @dmc_lk: Situation at 1600hours #29thMay2017 #SLFloods2017 #FloodSL #ContactUs on 117 on how to help or to donate,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
321,879999917191700480,"USD 100,000 grant from UAE for Sri Lankan flood victims &gt;&gt;&gt;  #SriLanka #UAE #Floods #Landslides #Victims",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
45,873530314370326528,Medical camp at Mathugama today.  #FloodSL @ippfsar #srhr #volunteers,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
309,872157204023062528,"Our vet response teams are working in flood-stricken areas of SW Sri Lanka, saving the lives of thousands of animals",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
29,873383772124831744,Situation at 0900hours #10thJune2017 #SLFloods2017 #FloodSL #ContactUs on 117 on how to help or to donate #SriLanka #dmc_lk #MeteoLK,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
302,869967624435900417,"At least 200 people have been killed and 600,000 displaced in Sri Lankas flash flood disaster",injured_or_dead_people,srilanka_floods_2017,srilanka_floods_2017_train
131,869970243241881600,RT @ICGZC: #FloodSL 200+ deaths reported due to floods and landslides in Sri Lanka #lka #HelpSriLanka,injured_or_dead_people,srilanka_floods_2017,srilanka_floods_2017_train
33,877125273065410560,Cash donation by Bangladesh for flood relief handed over to President  #SriLanka #LK #lka,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
127,872540655733624839,RT @ItsYakin: #Norway will contribute US$ 1.2 million to the humanitarian relief effort due to #FloodSL and landslides in Sri Lanka,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
109,870559191844491264,Hiru TV crew have been approached to the Nilawala interchange in Southern expressway for relive donations #floodSL,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
173,870166809001033728,Death toll from Sri Lankas floods rises to 164; China offers humanitarian aid worth about $2.2 mln for flood relief,injured_or_dead_people,srilanka_floods_2017,srilanka_floods_2017_train
29,871479652027555840,Pak Navy continues Humanitarian Assistance and Disaster Relief (HADR) Operations in Flood Stricken Sri Lanka through PNS ZULFIQUAR,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_dev
36,870160022482845696,RT @munza14: Urgent: Voice Foundation urgently need sugar for #FloodSL victims. Call Akash 0772512374 to contribute. #LKA #SriLanka #Flood,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
296,870206805816639489,Please Support to us for #FloodSL #relief @AusHCSriLanka @GermanyinSL @joern_rohde @medreliefuk @Aus_Int_Aid @RedCrescentTR @krcs_org_kw,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
